,title,description,source,url,sentiment_score
29,"AMD says it will lay off ~4% of its global staff to align “resources with our largest growth opportunities”; SEC filing: AMD had 26,000 employees at 2023's end","This is not investment advice. The author has no position in any of the stocks mentioned. Wccftech.com has a disclosure and ethics policy.
According to a spokesperson, chip designer Advanced Micro Devices, Inc., is laying off a portion of its global workforce…",Biztoc.com,https://biztoc.com/x/9f739d561662194c,0.2
30,Bezos backs AI chipmaker vying with Nvidia at $2.6 billion value,Tenstorrent hopes to create a chip to try and break Nvidia’s stranglehold on the AI business.,Fortune,https://fortune.com/2024/12/02/jeff-bezos-amazon-samsung-tenstorrent-nvidia-ai-chips-valuation/,0.0
31,Three insights you might have missed from SC24,"High-performance computing innovations are redefining the future of enterprise computing, pushing the boundaries of scalability, sustainability and innovation. At the heart of this transformation is the emergence of scalable AI infrastructure, which is democr…",SiliconANGLE News,https://siliconangle.com/2024/12/02/high-performance-computing-innovations-key-insights-sc24/,0.0
32,Red Hat revs up AI workloads with latest OpenShift platform enhancements,"Open-source software giant Red Hat Inc. is upping its game in artificial intelligence development with a host of updates to the Red Hat OpenShift AI platform, announced at KubeCon + CloudNativeCon North America 2024 today in Salt Lake City, Utah. Red Hat Open…",SiliconANGLE News,https://siliconangle.com/2024/11/12/red-hat-revs-ai-workloads-latest-openshift-platform-enhancements/,-0.16666666666666666
33,Multicloud GPU compute-as-a-service startup Kinesis Network goes fully serverless,"Distributed cloud compute-as-a-service startup Kinesis Network Inc. today announced the availability of a new serverless feature for enterprises to access its scalable “always-on” compute resources for artificial intelligence workloads. With the new service, …",SiliconANGLE News,https://siliconangle.com/2024/11/25/multicloud-gpu-compute-service-startup-kinesis-network-goes-fully-serverless/,-0.10909090909090909
34,Nvidia Forecast Fails to Meet Loftiest Estimates for AI Star,"(Bloomberg) -- Nvidia Corp. delivered a revenue forecast that failed to meet the highest expectations, showing that its dizzying AI-fueled growth run has its...",Yahoo Entertainment,https://finance.yahoo.com/news/nvidia-forecast-fails-meet-loftiest-213827540.html,-0.5
35,Cathie Wood's ARK ETF adjusts with AMD and Amazon stock trades,Cathie Wood's ARK ETF adjusts with AMD and Amazon stock trades,Investing.com,https://www.investing.com/news/company-news/cathie-woods-ark-etf-adjusts-with-amd-and-amazon-stock-trades-93CH-3745393,0.0
36,Direct liquid cooling emerges as key to exascale computing efficiency,"Exascale computing is no longer a distant concept, but a reality reshaping how massive computational tasks are approached. However, this rise has brought new challenges, particularly in thermal management. There now exists a growing adoption of direct liquid …",SiliconANGLE News,https://siliconangle.com/2024/11/21/exascale-computing-sc24/,0.060606060606060594
37,"Dell’s stock falls on weak guidance, as more customers hold off for next-gen AI servers","Weak guidance sent Dell Technologies Inc.’s shares into a tailspin today, with the stock down more than 10% in extended trading. The company is forecasting lower server sales, and blamed the shortfall on enterprise customers who are waiting to snap up new sys…",SiliconANGLE News,https://siliconangle.com/2024/11/26/dells-stock-falls-weak-guidance-customers-hold-off-next-gen-ai-servers/,0.0264520202020202
38,"[Latest] Global System on Module Market Size/Share Worth USD 6,235.5 Million by 2033 at a 9.2% CAGR: Custom Market Insights (Analysis, Outlook, Leaders, Report, Trends, Forecast, Segmentation, Growth, Growth Rate, Value)","[220+ Pages Latest Report] According to a market research study published by Custom Market Insights, the demand analysis of Global System on Module Market size & share revenue was valued at approximately USD 2,586.1 Million in 2023 and is expected to reach US…",GlobeNewswire,https://www.globenewswire.com/news-release/2024/11/27/2988339/0/en/Latest-Global-System-on-Module-Market-Size-Share-Worth-USD-6-235-5-Million-by-2033-at-a-9-2-CAGR-Custom-Market-Insights-Analysis-Outlook-Leaders-Report-Trends-Forecast-Segmentation.html,-6.938893903907228e-18
