Date,RSI,ATR,ADX,MACD
2024-05-09,56.3831,3.65,16.0631,1.0759999999999934
2024-05-08,54.9414,3.7123,16.8925,1.0610999999999962
2024-05-07,57.6741,3.8614,17.3595,0.8569999999999993
2024-05-06,55.5012,3.9178,17.8625,0.5694999999999908
2024-05-03,53.4197,3.9553,18.3898,0.03300000000000125
2024-05-02,48.7784,3.9932,19.7549,-0.3111999999999995
2024-05-01,49.642,4.0546,20.36,-0.44360000000000355
2024-04-30,52.6217,3.9706,20.9324,-0.32340000000000657
2024-04-29,53.1075,4.0823,22.0467,-0.5073999999999899
2024-04-26,48.4013,4.1866,23.4988,-0.8726999999999947
2024-04-25,41.2226,4.0704,25.0627,-1.3242999999999938
2024-04-24,47.5261,3.9913,25.5669,-1.3618000000000023
2024-04-23,42.4074,3.9215,26.3701,-1.0889999999999986
2024-04-22,37.6779,3.9732,26.7423,-1.0045999999999964
2024-04-19,44.0359,3.9809,26.0336,-0.58659999999999
2024-04-18,46.6737,3.59,25.2705,0.2933999999999912
2024-04-17,52.0327,3.5748,26.1612,0.5497999999999905
2024-04-16,48.952,3.4787,27.6473,0.9339000000000084
2024-04-15,53.4023,3.5835,29.4985,1.0665000000000049
2024-04-12,54.4385,3.4989,31.4921,1.3641999999999967
2024-04-11,51.0974,3.5307,33.0109,1.501899999999992
2024-04-10,45.397,3.5091,34.6465,1.4084000000000003
2024-04-09,50.9461,3.4951,37.094,1.6326999999999998
2024-04-08,53.1026,3.4092,39.7298,2.0666999999999973
2024-04-05,50.2519,3.5101,41.5984,2.409700000000001
2024-04-04,56.3963,3.582,43.7193,2.7232000000000056
2024-04-03,53.5318,3.4919,46.0034,3.2978999999999985
2024-04-02,53.4786,3.6087,47.4457,3.671999999999997
2024-04-01,56.568,3.6753,49.0668,4.0464000000000055
2024-03-28,56.1884,3.7257,50.1519,4.372599999999991
2024-03-27,61.373,3.8503,51.512,4.726100000000002
2024-03-26,66.3787,3.8298,52.9766,5.119500000000002
2024-03-25,64.504,3.8265,53.1577,5.311700000000002
2024-03-22,61.5885,3.8705,52.8956,5.231399999999994
2024-03-21,63.5963,3.8649,52.8736,5.125299999999996
2024-03-20,61.05,3.9871,53.1523,5.205999999999989
2024-03-19,57.6464,4.1257,53.8009,5.341400000000007
2024-03-18,63.8124,4.0174,54.4994,5.535600000000002
2024-03-15,60.0962,3.9173,54.3962,5.798999999999992
2024-03-14,64.8282,3.9657,54.6555,6.114000000000004
2024-03-13,67.5875,3.9409,54.7918,6.415900000000008
2024-03-12,64.7543,3.9766,54.1736,6.4084
2024-03-11,63.1421,3.8068,53.5078,6.2012
2024-03-08,81.8267,3.7434,53.0969,6.471500000000006
2024-03-07,78.439,3.1935,51.6846,6.5438000000000045
2024-03-06,76.7098,3.1264,50.5388,6.017499999999998
2024-03-05,74.238,3.0777,49.6038,5.662300000000002
2024-03-04,73.1376,3.1084,49.0209,5.40509999999999
2024-03-01,68.6483,2.931,48.2552,5.0726999999999975
2024-02-29,67.5434,2.9113,48.1789,4.875700000000009
2024-02-28,65.7181,2.9562,48.503,4.875600000000006
2024-02-27,70.0909,3.0446,49.0515,4.952200000000005
2024-02-26,70.8842,3.1005,49.6258,4.8722000000000065
2024-02-23,73.5247,3.1744,49.6619,4.659399999999991
2024-02-22,67.5966,3.0476,49.7007,4.348100000000002
2024-02-21,56.6136,2.4282,50.3327,3.9158000000000044
2024-02-20,68.7656,2.3685,53.4955,4.433599999999998
2024-02-16,77.1683,2.1755,56.1855,4.828499999999991
2024-02-15,76.887,2.1967,55.979,4.940400000000011
2024-02-14,76.0971,2.2445,55.8488,5.006999999999998
2024-02-13,72.4208,2.2405,55.7086,4.892499999999998
2024-02-12,81.5672,2.1183,55.7155,4.855799999999995
2024-02-09,79.2847,2.0227,54.4901,4.725999999999999
2024-02-08,78.7419,1.9827,53.5324,4.5031999999999925
2024-02-07,76.5615,2.0322,52.7475,4.4069999999999965
2024-02-06,82.4259,1.9871,52.0098,4.173700000000004
2024-02-05,80.9758,1.8743,51.3021,4.006
2024-02-02,75.2343,1.7618,49.8321,3.620899999999999
2024-02-01,71.7435,1.6226,48.7142,3.3995000000000033
2024-01-31,70.378,1.6194,48.2983,3.386400000000002
2024-01-30,78.1338,1.5845,48.125,3.4731999999999985
2024-01-29,75.239,1.6115,46.3253,3.406399999999998
2024-01-26,74.7325,1.6138,44.586,3.303199999999997
2024-01-25,82.7667,1.6449,42.8635,3.269300000000001
2024-01-24,79.7982,1.6277,40.7067,3.1189000000000036
2024-01-23,78.5685,1.5241,38.384,2.9072999999999993
2024-01-22,81.5777,1.5394,36.4956,2.7468000000000004
2024-01-19,78.2512,1.5609,33.913,2.524099999999997
2024-01-18,76.8793,1.4969,31.3041,2.2199000000000026
2024-01-17,75.049,1.4931,28.9627,2.0419000000000054
